Title,Authors,Journal,Year,Link,Source,Relevance
MEDIC: Medical embedded device for individualized care,"WH Wu, AAT Bui, MA Batalin, LK Au, JD Binney",Artificial intelligence in …,2008,https://www.sciencedirect.com/science/article/pii/S0933365707001510,Google Scholar,17
MEDIC: a practical disease vocabulary used at the Comparative Toxicogenomics Database,"AP Davis, TC Wiegers, MC Rosenstein, CJ Mattingly",Database,2012,https://academic.oup.com/database/article-abstract/doi/10.1093/database/bar065/430135,Google Scholar,11
Medic: Towards a comprehensive framework for evaluating llms in clinical applications,"PK Kanithi, C Christophe, MAF Pimentel",arXiv preprint arXiv …,2024,https://arxiv.org/abs/2409.07314,Google Scholar,11
Brain charts for the human lifespan,", P McGuire, MJ Meaney, A Mechelli, N Medic",Nature,2022,https://www.nature.com/articles/s41586-022-04554-y.,Google Scholar,10
Diagnostic and prognostic implications of endotoxemia in critical illness: results of the MEDIC study,"JC Marshall, D Foster, JL Vincent",Journal of Infectious …,2004,https://academic.oup.com/jid/article-abstract/190/3/527/938989,Google Scholar,10
Effect of torrefaction process parameters on biomass feedstock upgrading,"D Medic, M Darr, B Potter, A Shah","… , Pennsylvania, June 20 …",2010,https://elibrary.asabe.org/abstract.asp?aid=29898,Google Scholar,10
Short-and long-term health consequences of sleep disruption,"G Medic, M Wille, MEH Hemels",Nature and science of sleep,2017,https://www.tandfonline.com/doi/abs/10.2147/NSS.S134864,Google Scholar,9
"Inflammation and oxidative stress: the molecular connectivity between insulin resistance, obesity, and Alzheimer's disease","G Verdile, KN Keane, VF Cruzat, S Medic",Mediators of …,2015,https://onlinelibrary.wiley.com/doi/abs/10.1155/2015/105828,Google Scholar,8
"Medication adherence in schizophrenia: factors influencing adherence and consequences of nonadherence, a systematic literature review","K Higashi, G Medic, KJ Littlewood",Therapeutic …,2013,https://journals.sagepub.com/doi/abs/10.1177/2045125312474019,Google Scholar,7
Genome-wide association analyses identify new risk variants and the genetic architecture of amyotrophic lateral sclerosis,", O Harschnitz, RD Schellevis, WJ Brands, J Medic",Nature …,2016,https://www.nature.com/articles/ng.3622,Google Scholar,5
